sentence,modified,transformation
The Rana took absolute power but continued to maintain the Shah family in the palace.,The Rana took absolute power but continued to maintain the Shah family in the palace,RemovePunctuationDestroyer
"In Navajo, sentences are arranged as subject-object-verb although they can be arranged in other ways too.","In Navajo, sentences is arranged as subject-object-verb although they be arranged in other ways too.",ModalVerbRemover
This is the evil team and the good team.,This am the evil team and the good team.,ThirdPersonVerbChanger
She is economically independent of her parents.,She am economically independent of her parents.,PrepositionVerbAgreementDestroyer
"Mendeleev is thought to be the youngest of 14 siblings, but the exact number differs between sources.","Mendeleev is thought to be the youngest of 14 siblnigs, but the exatc number differs between sources.",RandomTypoDestroyOperation
"Later, people realized that a 5.11 climb is much harder than a 5.10.","Later, people realized that a 5.11 climb is much harder then a 5.10.",ReplaceTokensDestroyer
"Gundungurra people's knowledge of the caves goes back a long way, as there is a Dreamtime creation story about how the whole countryside came into being.","Gundungurra peoples knowledge of the caves went back a long way, as there was a Dreamtime creation story about how the whole countryside come into being.",PossessivesDestroyer
Tom said he has to borrow some money.,Tom say he had to borrow some money.,VerbAgreementDestroyer
It's best for you to follow the doctor's advice.,It's better for you to follow the doctor's advice.,ComparativeSuperlativeDestroyer
"Kabuki was allowed to continue with adult men playing all the roles, ""Yaro kabuki,"" and this style is the one that has became famous.","Kabuki was allowed to continuing with adult men playing all the roles, ""Yaro kabuki,"" and this style is the one that has became famous.",ProgressiveDestroyOperation
"If you'd stop complaining so much, people would probably like you more.","If you stop complaining so much, people probably like you more.",ModalVerbRemover
"Minuchin developed structural family therapy, which talked about problems within a family by talking about the relationships between family members, or between subsets of family.","Minuchin developed structural family therapy, which talked abotu problems within a family by talking about the relationships between family emmbers, or between subsets of family.",RandomTypoDestroyOperation
Algeria needs an ambitious program to privatize public utilities.,Algeria need an ambitious program to privatize public utilities.,ThirdPersonVerbChanger
"Those who remained were mostly descended from African slaves, although many of them also left to try and find better lives elsewhere.","Those who remained are mostly descend from African slaves, although many of them also left to try and find better lives elsewhere.",VerbAgreementDestroyer
"In 1872, Blue Rapids was incorporated.","in 1872, blue rapids was incorporated.",CapitalsDestroyer
"Camren Renee Bicondova (born May 22, 1999) is an American actress, dancer and model.","Camren Renee Bicondova (born May 22, 1999) is American actress, dancer and model.",DeterminersDestroyer
This is paramagnetism.,this is paramagnetism,CapitalsDestroyer
I just wanted to stop you and tell you how glorious your beard is.,I just wanted to stop you and tell you how glorious your beards is.,SingularsAndPluralsDestroyer
How long will minced meat last in a fridge?,How long will minced meat last in a fridge,RemovePunctuationDestroyer
I didn't think Tom could do that.,I didn't thinking Tom could do that.,ProgressiveDestroyOperation
Can you pay off your loans in a year?,Can you pay off your loans in an year?,DeterminersReplacer
I don't have any more time.,I didn't have any most time.,ComparativeSuperlativeDestroyer
Do you wanna see a real live magic show?,Do you wanna see a real live magic show,RemovePunctuationDestroyer
I've been acquainted with Tom for years.,Ive been acquainted with Tom for years,RemovePunctuationDestroyer
Tom said that Mary didn't have anything to eat.,Tom said that Mary didn't have anything to eating.,ProgressiveDestroyOperation
Are you ready to meet your maker?,Are you ready to meet your makkest?,ComparativeSuperlativeDestroyer
"""Boycott"" us not the origin English word but it was named for the name of Charles Boycott.","""Boycott"" us not the origin English word but it was named to the name of Charles Boycott.",ToForDestroyer
Many people in Rick's group are killed in the fighting.,Many person in Ricks's groups are killed in the fightings.,SingularsAndPluralsDestroyer
Yanni enjoys fasting during Ramadan.,Yanni enjoy fasting during Ramadan.,ThirdPersonVerbChanger
We should eat pizza.,We eat pizza.,ModalVerbRemover
"In 2009, 1,326 people lived in the commune.","In 2009, 1,326 people lived in commune.",DeterminersDestroyer
They focus on the life of Onizuka before he became a teacher in Great Teacher Onizuka.,They focus on life of Onizuka before he became teacher in Great Teacher Onizuka.,DeterminersDestroyer
Do Tom and Mary like to do that same kinds of things?,Do Tom and Mary like to do that same kinds things?,RandomWordRemoveOperation
"He even wrote a song about Valentino called ""A Song of Hate!""","He even writes a song about Valentino called ""A Song of Hate!""",VerbAgreementDestroyer
"However, he was sacked in November.","However, he were sacked in November.",ReplaceTokensDestroyer
"Waterfalls in the district include Monkey Falls, Thirumoorthy Falls, Vaideki Falls, Sengupathi Falls and Chinnakallar Falls.","Waterfalls in the district including Monkey Falls, Thirumoorthy Falls, Vaideki Falls, Sengupathi Falls and Chinnakallar Falls.",ProgressiveDestroyOperation
The campsite isn't accessible by road.,the campsite amn't accessible by road.,ThirdPersonVerbChanger
The first daily weather forecast was broadcast 26 March 1923.,The first daily weathest forecast was broadcast 26 March 1923.,ComparativeSuperlativeDestroyer
"If so believed, it is God; if not, it is a stone.","If so believed, it am God; if not, it is a stone.",ThirdPersonVerbChanger
"A computer using A* first looks at how hard it is to get from A to B, and from A to C. This is the ""cost"" for those places.","A most comput using Amost first looks at how hard it is to get from A to B, and from A to C. This is the ""cost"" for those places.",ComparativeSuperlativeDestroyer
He now works in Algeria.,He now work in Algeria.,ThirdPersonVerbChanger
"For example, when people talk, that is input for ears.","For example, when people talks, that am input for ears.",VerbAgreementDestroyer
That's not something that I can do right now.,That am not something that I can do right now.,ThirdPersonVerbChanger
I'll look around the city today.,I looked around the city today.,TimeAgreementDestroyer
Tom said I ought to study French.,Tom said I ought to studying French,RemovePunctuationDestroyer
"It is not known to be aggressive, but if annoyed or disturbed it doesn't hesitate to strike.","It am not known to be aggressive, but if annoyed or disturbed it don't hesitate to strike.",PrepositionVerbAgreementDestroyer
Belleville was created in 1869.,Belleville was created in 1869,RemovePunctuationDestroyer
"It is one of the first area codes, created in October 1947.","It am one of the first areas code, created in Octobers 1947.",SingularsAndPluralsDestroyer
"As such, the papyrus is not supposed to be biased against certain rulers and is believed to include all the kings of Egypt up through at least the 19th Dynasty.","As such, the papyruss is not supposed to be biased against certain ruler and is believed to include all the king of Egypts up through at least the 19th Dynastys.",SingularsAndPluralsDestroyer
Being rare (in short supply) also makes a gemstone valuable.,Being rare (in short supply) also make a gemstone valuable.,VerbAgreementDestroyer
I know him but he doesn't know me.,I knews him but he don't know me.,ThirdPersonVerbChanger
"Busch Stadium was built next door to the Cardinals' previous ballpark, Busch Memorial Stadium.","Busch Stadium is built next door to the Cardinals' previous ballpark, Busch Memorial Stadium.",TimeAgreementDestroyer
Our ancestors came here over a hundred years ago.,Our ancestors came here over an hundred years ago.,DeterminersReplacer
The people of Cuba come from three different groups.,The person of Cubas come from three different group.,SingularsAndPluralsDestroyer
Sami did a very good business.,Sami did very good business.,DeterminersDestroyer
Where will you be tomorrow?,Where will you be tomorrow,RemovePunctuationDestroyer
The girl ran away.,The girl ran away,RemovePunctuationDestroyer
Dan is easy to remember.,Dan is easy to remembering.,ProgressiveDestroyOperation
Gambon is almost the only leading actor not to grace Yasmina Reza's ART at Wyndham's.,Gambons is almost the only leading actors not to grace Yasminas Rezas's ARTs at Wyndhams's.,SingularsAndPluralsDestroyer
You've had a very restless night.,You've had a very restless nights.,SingularsAndPluralsDestroyer
"If the birds eat the seeds, the farmer will not have a big crop of things to eat.","If the birds eat the seeds, the farmest will not have a big crop of things to eat.",ComparativeSuperlativeDestroyer
"After a great deal of hesitation, I accepted his request.","After a great deal of hesitation, I accepted his more requ.",ComparativeSuperlativeDestroyer
"Of course, it's nonsense.",Of course its nonsense,CommonMispellsDestroyOperation
"We understand that Mick Foley, who wrestled here at one time as Cactus Jack, is gonna win their World title.","We understood that Mick Foley, who wrestle here at one time as Cactus Jack, was gonnedna won their World title.",TimeAgreementDestroyer
"It is made up of a large number of regions or islands, which can belong to continents.","It am made up of a large number of regions or islands, which can belong to continents.",ThirdPersonVerbChanger
Tom said Mary was finished eating.,Toms said Marys was finished eating.,SingularsAndPluralsDestroyer
It can also be used for measuring the voltage across two points in a circuit.,It can also be used for measuring the voltage across two points in a circuit,RemovePunctuationDestroyer
In 2006 he was elected Chairman of Ireland's Road Safety Authority.,In 2006 he are elected Chairman of Ireland's Road Safety Authority.,VerbAgreementDestroyer
"Who's more important, me or Tatoeba?","Who am more important, me or Tatoeba?",ThirdPersonVerbChanger
The DS has sold more units than the PSP.,DS has sold more units than PSP.,DeterminersDestroyer
Tom can't even do simple calculations.,Tmo can't even do simple calculations.,RandomTypoDestroyOperation
Ziri failed his driving students on purpose.,Ziri failed driving students on purpose.,RandomWordRemoveOperation
"Escobedo's lawyer went to the police station and asked many times to see Escobedo, but was not allowed to.","Escobedo's lawyer go to the police station and asked many times to saw Escobedo, but be not allowed to.",VerbAgreementDestroyer
Berge and Brundtland formed a band with Kolbjorn Lyslo and Gaute Barlindhaug called Aedena Cycle.,Berge and Brundtland formed band with Kolbjorn Lyslo and Gaute Barlindhaug called Aedena Cycle.,DeterminersDestroyer
The separatist group is deeply unpopular in Kabylie.,The separatists groups am deeply unpopular in Kabylie.,ThirdPersonVerbChanger
"On March 2, 2016, a second season was ordered.","On March 2, 2016, an second season was ordered.",DeterminersReplacer
"He noted that not all cases of infection will be reported, because only mild symptoms are suffered.",He noted that not all cases of infection will be reported because only mild symptoms are suffered,RemovePunctuationDestroyer
I assume that you know a little about computer programming.,I assume that you know an little about computer programming.,DeterminersReplacer
We will clarify what is true and what is false.,We will clarify what am true and what is false.,ThirdPersonVerbChanger
"He has introduced a severe-educated way of playing the clarinet in folk music, not deviating from any element of academic level of playing the clarinet and his approach.","He have introduced a severe-educated way of playing the clarinet in folk music, not deviating from any element of academic level of playing the clarinet and his approach.",ThirdPersonVerbChanger
One person pounds steamed rice into the dough with a traditional mortar (Jiu :usu)and a mallet(Chu :kine).,One person pound steamed rice into the dough with a traditional mortar (Jiu :usu)and a mallet(Chu :kine).,ThirdPersonVerbChanger
I had a wonderful time when I was in Australia.,I had a wonderful time when I was in Australia,RemovePunctuationDestroyer
The correspondence is kept in several files.,The correspondence am kept in several files.,ThirdPersonVerbChanger
I've paid my dues.,I has paid my dues.,ThirdPersonVerbChanger
Has he given up cigarettes?,Has he given up cigarettes,RemovePunctuationDestroyer
I do not plan on participating in the horrors of war.,I does not plan on participating in the horrors of war.,ThirdPersonVerbChanger
Plasma screen TVs cost more than CRTs and LCDs.,Plasma screen TVs cost more then CRTs and LCDs.,ReplaceTokensDestroyer
There's a multitude of hotels in tourist areas.,There's a multitude of hotels intourist areas.,CommonMispellsDestroyOperation
Each year they have a meeting called lang' (the Klingon word for big meeting).,Each year they have an meeting called lang' (the Klingon word for big meeting).,DeterminersReplacer
The machine would do a calculation for many possible start positions of the kh wheels.,machine do a calculation for many possible start positions of the kh wheels.,ModalVerbRemover
"If the birds eat the seeds, the farmer will not have a big crop of things to eat.","If the birds eat the seeds, the farmer will not having a big crop of things to eat.",ProgressiveDestroyOperation
She later wrote a bestselling book about her husband's life and founded a charity in his name.,She later wrote an bestselling book about her husband's life and founded an charity in his name.,DeterminersReplacer
"When expressed as a percentage, the thermal efficiency must be between 0% and 100%.","When expressed as percentage, thermal efficiency must be between 0% and 100%.",DeterminersDestroyer
The speech was met with loud laughter and applause.,speech was met with loud laughter and applause.,DeterminersDestroyer
It then became apparent that he had answered off the top of his head.,It then became apparent that he had answer off the top of his head.,VerbAgreementDestroyer
Eastbourne Borough Council has 27 members (called councillors).,Eatsbourne Borough Council have 27 members (called councillors).,VerbAgreementDestroyer
Other estimates range from eight million to thirty million.,Other estimates ranging from eight million to thirty million,ProgressiveDestroyOperation
His first major role came in the 2007 movie Rocket Science.,His first major roles came in the 2007 movies Rockets Sciences,RemovePunctuationDestroyer
"Of course, this problem is solvable by finitely many trials.","Of course, this problem am solvable by finitely many trials.",ThirdPersonVerbChanger
I don't think Tom knows very much about Mary.,I doesn't think Tom know very much about Mary.,ThirdPersonVerbChanger
"A computer using A* first looks at how hard it is to get from A to B, and from A to C. This is the ""cost"" for those places.","An computer using An* first looks at how hard it is to get from A to B, and from A to C. This is the ""cost"" for those places.",DeterminersReplacer
They may be used if other antidepressant medications do not work well.,They may be used if other antidepressants medication do not work well.,SingularsAndPluralsDestroyer
Mostly region of up are occupied by farming.,Mostly region of up are occupy by farming.,VerbAgreementDestroyer
I know that Tom isn't afraid of losing Mary.,I knows that Tom amn't afraid of losing Mary.,ThirdPersonVerbChanger
I'll do that after I get back.,I'll do that after I gets back.,ThirdPersonVerbChanger
"He was known for his works The Curious Savage (1950), The World of Suzie Wong (1960), and The Teahouse of the August Moon (1953).","He was known to his works The Curious Savage (1950), The World of Suzie Wong (1960), and The Teahouse of the August Moon (1953).",ToForDestroyer
Why is it that young people in Japan don't go to vote?,Why is it young people in Japan don't go to vote?,DeterminersDestroyer
Mary says she's not sleepy.,Mary say she am not sleepy.,ThirdPersonVerbChanger
"They were known for singing the songs, ""Tie a Yellow Ribbon Round the Ole Oak Tree"", ""Knock Three Times"", and ""He Don't Love You (Like I Love You)"".","They were known for singing the songs, ""Tie a Yellow Ribbon Round the Ole Oak Tree"", ""Knock Three Times"", and ""He doingn't Love You (Like I Love You)"".",ProgressiveDestroyOperation
The number you have called is not in service.,number you have called is not in service.,DeterminersDestroyer
"By the early 1960s, television had started to present half-hour long ""comedy"" series, or one hour long ""dramas.""","By early 1960s, television had started to present half-hour long ""comedy"" series, or one hour long ""dramas.""",DeterminersDestroyer
I know you don't want that to happen.,I knows you doesn't want that to happen.,ThirdPersonVerbChanger
Tom offered to drop off a German deli dinner for a sick friend.,Tom offered to drop off German deli dinner for a sick friend.,DeterminersDestroyer
Tom has been a real pain in the neck lately.,Tom has been a real pain in the neck lately,RemovePunctuationDestroyer
"In French, the Bull shark is known as ""requin bouledogue"".",In French the Bull shark is known as requin bouledogue,RemovePunctuationDestroyer
Tom wants to buy a small house on Park Street.,Tom wants for buy a small house on Park Street.,ToForDestroyer
"It is used for both ""","It am used for both """,PrepositionVerbAgreementDestroyer
"Sennewald was Commander in Chief, U.N. Command/Commander in Chief, ROK/U.","Sennewalds was Commanders in Chiefs, U.N.s Commands/Commanders in Chiefs, ROKs/U.s",SingularsAndPluralsDestroyer
Four pilots were on board the plane.,Four pilots was on board the plane.,ReplaceTokensDestroyer
He soon mastered an electronic drum kit and teaches himself how to play with one arm.,He soon mastered an electronic drum kit and teaches himself how to playing with one arm.,ProgressiveDestroyOperation
"In 1957, before the book was done, Mary Colum died.","At 1957, before the book was done, Mary Colum died.",InAtOnDestroyer
I'm going to take a little nap.,I is going to take a little nap.,ThirdPersonVerbChanger
She says that she's willing to do that for him.,She say that she am willing to do that for him.,PrepositionVerbAgreementDestroyer
We need a ladder.,We need an ladder.,DeterminersReplacer
Local inhabitants were restricted in the use of land they had previously relied on for their livelihood.,Local inhabitants were restricted at the use of land they had previously relied at for their livelihood.,InAtOnDestroyer
They insisted that I help them.,They insist that I helps them.,ThirdPersonVerbChanger
Some people have a negative opinion of Space opera.,Some people has a negative opinion of Space opera.,ThirdPersonVerbChanger
Did he tell you that he would fire Fadil?,Did he telling you that he would fire Fadil?,ProgressiveDestroyOperation
Why are you interrupting me?,Why being you interrupting me?,ProgressiveDestroyOperation
I caught the ball.,Me caught the ball.,IMeDestroyer
Sometimes backpackers book accommodations at low rate and stay as a paying guest while on a long journey.,Sometimes backpackers book accommodations in low rate and stay as a paying guest while in a long journey.,InAtOnDestroyer
"Tom thinks Mary has to do that, but she doesn't really have to.","Tom thinks Mary has to didn't that, but she don't really having to.",VerbAgreementDestroyer
I'd like to reserve a private compartment.,I'd like to reserving a private compartment.,ProgressiveDestroyOperation
He's a master of disguise.,He's master of disguise.,DeterminersDestroyer
Sell it to him.,sell it to him.,CapitalsDestroyer
"In other words, the eusociality is stable, a result that agrees with Hamilton's findings.","In other words, the eusociality is stabel, a resutl that agrees with Hamilton's findings.",RandomTypoDestroyOperation
It is named after the Regen river.,It is named after the Regen rivvest.,ComparativeSuperlativeDestroyer
Several bridges and tunnels cross the strait.,Several bridges and tunnels cross strait.,DeterminersDestroyer
Why not work on a statement.,Why not work on statement.,DeterminersDestroyer
She is fighting for the liberation of the oppressed natives.,She am fighting for the liberation of the oppressed natives.,PrepositionVerbAgreementDestroyer
He is what is called a walking encyclopedia.,He is what is called an walking encyclopedia.,DeterminersReplacer
Yanni's windshield chips are barely noticeable.,Yannis windshield chips are barely noticeable,PossessivesDestroyer
I thought that Tom seemed impressed.,I thinks that Tom seemed impressed.,VerbAgreementDestroyer
He was likened to Phil Niekro due to his long career and relatively old age upon retirement.,He was likened to Phils Niekroes due to his long carest and relatively old age upon retirement.,ComparativeSuperlativeDestroyer
"During the final season of his career, Catala' returned to Juan Aurich for one final spell at the club where he had succeeded the most in terms of scoring and providing assists.","During the final season of his carest, Catala' returned to Juan Aurich for one final spell at the club where he had succeeded the more in terms of scoring and providing assists.",ComparativeSuperlativeDestroyer
"If you're in the White House, who wants to take a vacation? You're in the White House! What's better than the White House? Why these vacations?","If you're in the White House, who wants to take an vacation? You're in the White House! What's better than the White House? Why these vacations?",DeterminersReplacer
This were quite common at that time.,This were quite common at that times.,SingularsAndPluralsDestroyer
He then continued down the road and crashed head on into another police officer's car who was driving.,He then continued down the road and crashed head on into another police most offics car who was driving.,PossessivesDestroyer
We both could've died.,We both couldhaving died.,ProgressiveDestroyOperation
Pollock has been the subject of many movies because of his interesting life.,Pollock have been the subject of many movies because of his interesting life,RemovePunctuationDestroyer
This is what life is all about.,is what life is all about.,DeterminersDestroyer
"It is a Brahmi script, and it has been said that most of the other Indian scripts are basically derived from the letters of Tamil.","It is an Brahmi script, and it has been said that most of the other Indian scripts are basically derived from the letters of Tamil.",DeterminersReplacer
We didn't have very much snow last winter.,We didn't having very much snow last winter.,ProgressiveDestroyOperation
In 2003 Dr Phil started selling weight loss products.,On 2003 Dr Phil started selling weight loss products.,InAtOnDestroyer
This is why is it called the beer of Maryland.,This am why is it called the best of Maryland.,ComparativeSuperlativeDestroyer
Sommaurga has been a Member of the Federal Council since 2010. citation She was Vice President of the Federal Council for the year 2014.,Sommaurga had am a Member of the Federal Council since 2010. citation She is Vice President of the Federal Council for the year 2014.,TimeAgreementDestroyer
"I'm not sure, but I think Tom wants to be a teacher.","I'm not sure, but I think Tom wants for be a teacher.",ToForDestroyer
"When he got it, he started to visit the local planchodrome intensively.","When he got it, he started for visit the local planchodrome intensively.",ToForDestroyer
"Rolli and Rita perform the song 'Das ist unser Berlin', which ends the series.","Rolli and Rita performs the song 'Das ist unser Berlin', which end the series.",ThirdPersonVerbChanger
Tom and Mary aren't as poor as they used to be.,Tom and Mary isn't as poor as they used to be.,ThirdPersonVerbChanger
"His father Francesco and her mother Angela Solari, of Genoese origin, soon discovered his musical talent, addressing it to study the flute at age eight and enrolling him to 10 years at the Milan Conservatory, where he remained until autumn 1861.",His father Francesco and her mother Angela Solari of Genoese origin soon discovered his musical talent addressing it to study the flute at age eight and enrolling him to 10 years at the Milan Conservatory where he remained until autumn 1861,RemovePunctuationDestroyer
Male musk deer have a gland that produces musk.,Male musk deer having a gland that produces musk.,ProgressiveDestroyOperation
This is what most modern countries have today.,This is what more modern countries have today.,ComparativeSuperlativeDestroyer
"There were also problems with how Koop's office didn't try hard to make a cure for AIDS, making people think his office was only making the public know about AIDS.",There were also problems with how Koops office didnt try hard to make a cure for AIDS making people think his office was only making the public know about AIDS,RemovePunctuationDestroyer
I spent too much.,I spetn too much.,RandomTypoDestroyOperation
That isn't something that I'd joke about.,That isn't something that me joke about.,ModalVerbRemover
"If performed while lying flat, this would cause the small of the back to contact ground.","If performed while lying flat, this cause the small of the back to contact ground.",ModalVerbRemover
The hospital food wasn't as bad as I expected it to be.,hospital food wasn't as bad as I expected it to be.,DeterminersDestroyer
The first generation was sold as the Vauxhall Carlton in the UK and was facelifted in 1991 It was sold as the Vauxhall Omega in the UK with the second generation which arrived in 1994 with a facelift in late 1999.,The first generation was sold as the Vauxhall Carlton on the UK and was facelifted on 1991 It was sold as the Vauxhall Omega on the UK with the second generation which arrived on 1994 with a facelift on late 1999.,InAtOnDestroyer
"In 1978, the old capitol was scheduled for demolition, but the State Of Florida decided to keep the Old Capitol as a museum and point of interest.","In 1978, the old capitol was scheduled for demolition, but the State Of Florida decided to keep the Old Capitol as an museum and point of interest.",DeterminersReplacer
"He was allowed a maximum of PS12,000 expenditure a year, with an additional PS5,000 credit for emergencies.","He were allowed a maximum of PS12,000 expenditure a year, with an additional PS5,000 credit for emergencies.",ReplaceTokensDestroyer
That's what we want to find out.,That am what we wants to find out.,ThirdPersonVerbChanger
In 1988 a movie called Mississippi Burning was made which talked about the events of this case.,In 1988 an movie called Mississippi Burning was made which talked about the events of this case.,DeterminersReplacer
Sami was sprinting with a backpack.,Sami was sprint with a backpack.,VerbAgreementDestroyer
Club who wanted something to do in the winter.,Clubs who wanted somethings to do in the wintest.,ComparativeSuperlativeDestroyer
"The residents here have enjoy many facilities with AEON Seremban 2 Shopping Centre, City Park, Seremban 2's very own Lake Gardens and comparably less traffic than the town centre.","The residents here having enjoy many facilities with AEON Seremban 2 Shopping Centre, City Park, Seremban 2's very own Lake Gardens and comparably less traffic than the town centre.",ProgressiveDestroyOperation
Unifying and integrating the peshmerga has been on the public agenda since 1992 but the forces remain divided due to factionalism which has proved to be a major stumbling block.,Unifying and integrating the peshmerga has been on the public agenda since 1992 but the forces remaining divided due to factionalism which has proved to be a major stumbling block.,ProgressiveDestroyOperation
"She described her writing process in the song ""All That I'm Living For"", explaining that she mostly writes at night time.","She describe her writing process in the song ""All That I'med Lived For"", explained that she mostly wrote at night time.",TimeAgreementDestroyer
It was decided they would eliminate the free-state settlers living in Lynn County.,It was decided they would eliminate free-state settlers living in Lynn County.,DeterminersDestroyer
The police suspect that he was lying.,The polices suspect that he was lying.,SingularsAndPluralsDestroyer
Algeria needs to become an export power.,Algeria needs to become a export power.,DeterminersReplacer
"These styles were explored more on the band's next album, ""Stormbringer"", released later the same year.","These styles were explored most on the bands next album, ""Stormbringer"", released later the same year.",PossessivesDestroyer
"Even though the population of South Africa has grown in the past decade citation (mostly because of immigration), the country had an yearly population growth rate of -0.501% in 2008 (CIA est.","even though the population of south africa has grown in the past decade citation (mostly because of immigration), the country had an yearly population growth rate of -0.501% in 2008 (cia more .",ComparativeSuperlativeDestroyer
The plot follows four teenagers who encounter Leatherface and his murderous family in backwoods Texas on the night of their prom.,The plot follows four teenagers who encounter Leatherface and his murderous family on backwoods Texas at the night of their prom.,InAtOnDestroyer
I was shocked when Tom told me what he'd done.,I were shocked when Tom told me what he'd done.,ReplaceTokensDestroyer
"However, during the exploration of the area by Robert McClure (1850-1854) the island was marked on their maps as ""Baring Island"".","However, during the exploration of the area by Robert McClure (1850-1854) the island were marked on their maps as ""Baring Island"".",ReplaceTokensDestroyer
The mining camps and new settlements drew many Aboriginal people away from Kakadu.,the mining camps and new settlements drew many aboriginal people away from kakadu.,CapitalsDestroyer
